140801,"304269",6292
140801,"307761",11
140801,"355827",4893
140801,"409629",23251
140801,"436483",12
140802,"304269",5364
140802,"307761",14
140802,"355827",4453
140802,"409629",34545
140802,"436483",10
140803,"304269",5055
140803,"307761",325
140803,"355827",4355
140803,"358278",1
140803,"409629",33811
140803,"436483",2
140804,"304269",5774
140804,"307761",132
140804,"355827",6670
140804,"409629",38810
140804,"436483",3
140805,"304269",5578
140805,"307761",63
140805,"355827",5937
140805,"409629",56168
140806,"304269",5962
140806,"307761",10
140806,"355827",5538
140806,"409629",73447
140807,"304269",5426
140807,"307761",8
140807,"355827",5494
140807,"409629",64989
140808,"304269",5052
140808,"307761",15
140808,"355827",4765
140808,"358278",2
140808,"409629",63426
140808,"436483",2
140809,"304269",5030
140809,"307761",13
140809,"355827",4686
140809,"409629",55218
140810,"304269",5659
140810,"307761",190
140810,"355827",4967
140810,"358278",1
140810,"409629",56088
140811,"304269",7264
140811,"307761",1
140811,"355827",4873
140811,"358278",1
140811,"409629",62307
140811,"436483",1
140812,"304269",7448
140812,"355827",4663
140812,"409629",58474
140813,"304269",6401
140813,"355827",4418
140813,"409629",55717
140813,"436483",1
140814,"304269",6141
140814,"307761",99
140814,"355827",4358
140814,"358278",10
140814,"409629",56095
140815,"304269",6330
140815,"307761",279
140815,"355827",4491
140815,"358278",9
140815,"409629",50756
140815,"436483",1
140816,"304269",6572
140816,"307761",321
140816,"355827",4594
140816,"358278",17
140816,"409629",18306
140817,"304269",5953
140817,"355827",4788
140817,"409629",11570
140817,"436483",2
140818,"304269",6657
140818,"355827",5645
140818,"409629",12539
140819,"304269",6717
140819,"355827",5914
140819,"409629",11148
140819,"436483",1
140820,"304269",5529
140820,"355827",5399
140820,"409629",9528
140820,"436483",1
140821,"304269",8521
140821,"307761",78
140821,"355827",5646
140821,"358278",9
140821,"409629",7552
140822,"304269",7836
140822,"307761",226
140822,"355827",5201
140822,"358278",10
140822,"409629",5698
140823,"304269",4092
140823,"307761",281
140823,"355827",5049
140823,"358278",12
140823,"409629",3947
140824,"304269",4664
140824,"307761",57
140824,"355827",5450
140824,"358278",4
140824,"409629",3758
140825,"304269",5438
140825,"355827",6496
140825,"409629",4313
140825,"436483",1
140826,"304269",5506
140826,"355827",6698
140826,"409629",2758
140827,"304269",4685
140827,"355827",6797
140827,"409629",2971
140828,"304269",4417
140828,"307761",69
140828,"355827",6790
140828,"358278",8
140828,"409629",3230
140828,"451764",4
140829,"304269",5434
140829,"307761",231
140829,"355827",5481
140829,"358278",8
140829,"409629",3198
140829,"451764",8
140829,"451915",3
140830,"304269",4283
140830,"307761",269
140830,"355827",4825
140830,"358278",14
140830,"409629",2483
140831,"304269",4560
140831,"307761",78
140831,"355827",4853
140831,"358278",4
140831,"409629",2142
