140801,"307761",4
140801,"405642",18
140801,"409629",557
140801,"421670",326
140801,"422046",14
140801,"422155",612
140801,"422474",20
140801,"424075",1
140801,"431241",5
140801,"436483",5
140801,"439347",150
140801,"439576",32
140802,"307761",7
140802,"405642",10
140802,"409629",444
140802,"421670",455
140802,"422046",69
140802,"422155",649
140802,"422174",2
140802,"422474",9
140802,"424075",1
140802,"431241",3
140802,"436483",6
140802,"439347",126
140802,"439576",29
140803,"307761",3
140803,"405642",21
140803,"409629",465
140803,"421670",445
140803,"422046",79
140803,"422155",646
140803,"422474",6
140803,"424075",1
140803,"431241",2
140803,"436483",2
140803,"439347",147
140803,"439576",9
140804,"307761",5
140804,"405642",31
140804,"409629",423
140804,"421670",545
140804,"422046",121
140804,"422155",972
140804,"422474",5
140804,"424075",482
140804,"431241",4
140804,"436483",3
140804,"439347",184
140804,"439576",37
140805,"307761",4
140805,"405642",19
140805,"409629",657
140805,"421670",567
140805,"422046",88
140805,"422155",792
140805,"422474",3
140805,"424075",228
140805,"431241",3
140805,"436483",2
140805,"439347",184
140805,"439576",31
140806,"307761",5
140806,"405642",21
140806,"409629",767
140806,"421670",428
140806,"422046",122
140806,"422155",723
140806,"422174",5
140806,"422474",7
140806,"423771",2
140806,"424032",3
140806,"424075",69
140806,"431241",3
140806,"436483",5
140806,"439347",166
140806,"439576",14
140807,"307761",5
140807,"405642",22
140807,"409629",729
140807,"421670",409
140807,"422046",109
140807,"422155",700
140807,"422474",10
140807,"424075",34
140807,"431241",3
140807,"436483",3
140807,"439347",171
140807,"439576",13
140808,"307761",6
140808,"358278",1
140808,"405642",19
140808,"409629",716
140808,"421670",350
140808,"422046",68
140808,"422155",532
140808,"422474",5
140808,"424075",27
140808,"431241",2
140808,"436483",2
140808,"439347",151
140808,"439576",20
140809,"307761",5
140809,"405642",20
140809,"409629",721
140809,"421670",371
140809,"422046",82
140809,"422155",538
140809,"422474",3
140809,"424075",17
140809,"431241",2
140809,"436483",4
140809,"439347",143
140809,"439576",9
140810,"307761",5
140810,"405642",16
140810,"409629",715
140810,"421670",357
140810,"422046",103
140810,"422155",496
140810,"422474",3
140810,"424075",22
140810,"436483",3
140810,"439347",159
140810,"439576",9
140811,"307761",4
140811,"405642",19
140811,"409629",683
140811,"421670",368
140811,"422046",81
140811,"422155",569
140811,"422474",4
140811,"424075",8
140811,"436483",5
140811,"439347",155
140811,"439576",15
140812,"307761",8
140812,"405642",14
140812,"409629",670
140812,"421670",332
140812,"422046",81
140812,"422155",551
140812,"422474",4
140812,"424075",12
140812,"431241",2
140812,"436483",1
140812,"439347",122
140812,"439576",12
140813,"307761",6
140813,"405642",13
140813,"409629",608
