140820,0,0,21918
140820,10166869,3,11
140820,10166870,3,15
140820,10166871,3,23
140820,10166872,3,29
140820,10166874,3,4
140820,10166877,3,1
140820,10166881,3,4
140820,10166882,3,12
140820,10166885,3,1
140820,10166889,3,1
140820,10166890,3,6
140820,10166891,3,36
140820,10166892,3,2
140820,10166893,3,7
140820,10166894,3,17
140820,10166896,3,2
140820,10166899,3,2
140820,10166900,3,10
140820,10166901,3,21
140820,10166902,3,54
140820,10166903,3,63
140820,10166905,3,3
140820,10166907,3,2
140820,10166908,3,25
140820,10166909,3,10
140820,10166910,3,19
140820,10166911,3,33
140820,10166912,3,7
140820,10166913,3,1
140820,10166914,3,7
140820,10166917,3,155
140820,10166918,3,52
140820,10166919,3,4
140820,10166920,3,3
140820,10166925,3,19
140820,10166926,3,62
140820,10166927,3,4
140820,10166928,3,86
140820,10166929,3,26
140820,10166930,3,1
140820,10166934,3,4
140820,10166935,3,10
140820,10166936,3,4
140820,10166937,3,6
140820,10166938,3,5
140820,10166939,3,1
140820,10166942,3,1
140820,10166943,3,35
140820,10166944,3,3
140820,10166945,3,3
140820,10166946,3,2
140820,10166947,3,27
140820,10166948,3,15
140820,10166949,3,24
140820,10166950,3,5
140820,10175931,3,4
140820,10175932,3,8
140820,10175933,3,7
140820,10175934,3,2
140820,10175935,3,3
140820,10212918,3,1
140820,10212924,3,20
140820,10212928,3,1
140820,10212937,3,2
140820,10212938,3,6
140820,10213024,3,11
140820,10213025,3,4
140820,10213272,3,2
140820,10216956,3,25
140820,10216957,3,7
140820,10216959,3,20
140820,10216960,3,2
140820,10216961,3,1
140820,10217051,3,15
140820,10217052,3,4
140820,10217053,3,17
140820,10217055,3,4
140820,10217056,3,100
140820,10230655,3,9
140820,10230659,3,81
140820,10230661,3,1
140820,10230686,3,3
140820,10230688,3,4
140820,10230691,3,1
140820,10230699,3,5
140820,10249785,3,2
140820,10259555,3,1
140820,10259607,3,6
140820,10273321,3,12
140820,10273322,3,34
140820,10273323,3,9
140820,10273324,3,11
140820,10273325,3,4
140820,10273326,3,55
140820,10273328,3,3
140820,10273329,3,7
140820,10273389,3,1
140820,10273391,3,1
140820,10273392,3,2
140820,304269,1,109390
140820,307761,2,3
140820,307761,4,3
140820,355827,1,42405
140820,355827,4,107753
140820,358278,2,4
140820,358278,4,3
140820,405642,2,46
140820,405642,4,44
140820,409629,1,22985
140820,409629,2,839
140820,409629,4,112467
140820,421670,2,441
140820,421670,4,426
140820,422046,2,159
140820,422046,4,154
140820,422155,2,658
140820,422155,4,625
140820,422474,2,10
140820,422474,4,6
140820,422935,2,1
140820,424075,2,2
140820,424075,4,2
140820,431241,2,2
140820,431241,4,2
140820,436483,1,30
140820,436483,2,4
140820,439347,2,346
140820,439347,4,341
140820,439576,2,24
140820,439576,4,22
