140803,"27853","9967237",5
140803,"27853","9967255",1
140803,"27853","9993598",2
140803,"28950","9787363",1
140803,"33029","10286270",1
140803,"33029","9957597",2
140803,"33029","9983279",1
140803,"33029","9983312",1
140803,"37344","10019074",3
140803,"37344","10019075",3
140803,"37344","10291676",3
140803,"37344","10291678",1
140803,"37344","10291860",1
140803,"37344","10291920",1
140803,"37344","10526809",2
140803,"37344","10526816",1
140803,"37344","10526817",1
140803,"37344","10526818",1
140803,"37344","10526822",2
140803,"37344","10526823",1
140803,"37344","10526824",3
140803,"37344","10526825",2
140803,"37344","10526826",1
140803,"37344","10526828",2
140803,"37344","10526831",1
140803,"37344","9743736",1
140803,"37344","9743747",1
140803,"37344","9975915",6
140803,"37344","9975916",9
140803,"39858","9939795",1
140803,"39858","9939823",2
140803,"39858","9939835",1
140803,"39858","9939866",1
140803,"39858","9967632",1
140803,"39858","9967634",1
140803,"4","0",23
140803,"43156","10430095",3
140803,"43156","9975569",1
140803,"49499","9787360",8
140803,"49864","10402916",1
140803,"49864","9648926",1
140803,"49864","9648927",4
140803,"49864","9788449",1
140803,"49864","9929584",1
140803,"49864","9929585",3
140803,"49864","9929588",1
140803,"49864","9929589",3
140803,"49864","9929593",7
140803,"49864","9947388",1
140803,"49864","9947389",6
140803,"49864","9947391",5
140803,"49864","9947393",2
140803,"49864","9947402",2
140803,"49864","9947404",3
140803,"49864","9947408",9
140803,"49864","9947472",1
140803,"49864","9947473",2
140803,"49864","9947477",1
140803,"49864","9947478",1
140803,"49864","9967641",1
140803,"49864","9967644",1
140803,"49864","9967645",4
140803,"49864","9967646",3
140803,"49976","10346900",7
140803,"49976","10346978",7
140803,"49976","10346983",9
140803,"49976","10384424",3
140803,"49976","10384425",6
140803,"49976","10384426",21
140803,"49976","10384427",7
140803,"66166","10375063",2
140803,"66166","10375068",4
140803,"66166","10404791",2
140803,"66166","10405033",1
140803,"66166","9957066",5
140803,"66166","9957078",14
140803,"66166","9957098",2
140803,"66166","9957100",1
140803,"66166","9957102",1
140803,"66166","9957108",1
140803,"66166","9993646",1
140803,"66166","9993647",1
140803,"70689","10012269",1
140803,"70689","9639160",1
140803,"70689","9639196",1
140803,"70689","9639197",1
140803,"70689","9930848",4
140803,"70689","9930851",2
140803,"70689","9967623",1
140803,"70689","9967627",1
140803,"74239","9964903",10
140803,"74239","9964904",53
140803,"74239","9964905",20
140803,"74239","9964906",12
140803,"74239","9964907",18
140803,"76072","8406594",16189
140803,"82753","10031554",17
140803,"89424","10393543",1
140803,"89424","10393561",2
140803,"89424","10430526",1
140803,"89424","9974534",1
140803,"89424","9984709",1
140804,"1","0",10
140804,"26536","7207552",31668
140804,"27853","10061889",1
140804,"27853","10375044",1
140804,"27853","10375048",4
140804,"27853","10375052",1
140804,"27853","10530215",1
140804,"27853","9967226",1
140804,"27853","9967227",2
140804,"27853","9967229",9
140804,"27853","9967237",6
140804,"27853","9967252",1
140804,"27853","9967255",2
140804,"27853","9967269",1
140804,"27853","9993587",1
140804,"27853","9993589",1
140804,"27853","9993590",1
140804,"27853","9993598",3
140804,"33029","10286260",1
140804,"33029","10286270",3
140804,"33029","9957597",1
140804,"33029","9983271",4
140804,"37344","10019074",4
140804,"37344","10019075",6
140804,"37344","10291671",4
140804,"37344","10291676",10
140804,"37344","10291678",5
140804,"37344","10291689",1
140804,"37344","10291860",1
140804,"37344","10291869",3
140804,"37344","10495716",4
140804,"37344","10495717",2
140804,"37344","10526809",3
140804,"37344","10526813",3
140804,"37344","10526817",1
140804,"37344","10526820",1
140804,"37344","10526823",1
140804,"37344","10526824",1
140804,"37344","10526825",2
140804,"37344","10526826",2
140804,"37344","10526828",1
140804,"37344","10526829",2
140804,"37344","10526833",1
140804,"37344","9743736",2
140804,"37344","9743747",1
140804,"37344","9975914",1
140804,"37344","9975915",3
140804,"37344","9975916",22
140804,"39858","10402850",1
140804,"39858","9939853",2
140804,"39858","9967632",1
140804,"4","0",17
140804,"43156","10430095",4
140804,"43156","10513385",2
140804,"44288","10345888",1
140804,"44288","10345892",1
140804,"44288","10345895",1
140804,"49499","10010929",1
140804,"49499","9787360",13
140804,"49864","10402916",2
140804,"49864","9648925",1
140804,"49864","9648982",1
140804,"49864","9788448",1
140804,"49864","9788449",1
140804,"49864","9788452",3
140804,"49864","9929585",1
140804,"49864","9929589",5
140804,"49864","9947388",3
140804,"49864","9947389",4
140804,"49864","9947390",1
140804,"49864","9947392",8
140804,"49864","9947396",2
140804,"49864","9947404",3
140804,"49864","9947407",1
140804,"49864","9947408",4
140804,"49864","9947409",1
140804,"49864","9947470",1
140804,"49864","9947471",2
140804,"49864","9947474",1
140804,"49864","9947478",3
140804,"49864","9967642",5
140804,"49864","9967643",1
140804,"49864","9967645",5
140804,"49864","9967646",3
140804,"49864","9967647",3
140804,"49976","10346900",2
140804,"49976","10346978",4
140804,"49976","10346983",3
140804,"49976","10384424",2
140804,"49976","10384426",4
140804,"49976","10384427",2
140804,"66166","10375068",5
140804,"66166","9957066",1
140804,"66166","9957076",1
140804,"66166","9957078",6
140804,"66166","9957079",1
140804,"66166","9957080",2
140804,"66166","9957098",5
140804,"66166","9957100",1
140804,"66166","9993646",2
140804,"70689","10225491",1
140804,"70689","9639196",1
140804,"70689","9639197",1
140804,"70689","9930847",2
140804,"70689","9930851",1
140804,"70689","9930852",2
140804,"70689","9967625",1
140804,"70689","9967626",4
140804,"74019","8917458",1
140804,"74239","9964903",3
140804,"74239","9964904",80
140804,"74239","9964905",13
140804,"74239","9964906",10
140804,"74239","9964907",18
